#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
108,"Entre la Playa Ella y Yo","Big Yamo,Vato 18k",85,4B,86,2026-06-23,03:05,69,"reggaetón","Big Yamo o Nada",2013-04-27,64,48,0,97,0,20,-4,G#/A♭ Major,4,1tvdNGCcgAhYaYq7ouIYGJ,USCGJ1386459,no
109,"Noche de Estrellas","José de Rico,Henry Mendez,Jay Santos",128,1B,91,2026-06-23,03:21,56,"reggaetón, latina, urbano latino","Noche de Estrellas",2012-06-11,73,19,0,89,0,30,-4,B Major,4,2pbLzrByOZPibnYwSXLplI,ES1611200139,no
110,"Motívate","Danny Romero",128,2B,84,2026-06-23,03:26,53,"","Motívate",2013-06-25,71,0,0,62,0,10,-5,F#/G♭ Major,4,6zlgKpuinRi075R2L3juPB,ES31G1303001,no
111,"Lo Que Paso, Paso","Daddy Yankee",97,1A,74,2026-06-23,03:37,0,"reggaetón","Hip Hop and Reggaeton Revolution (Excluded Version)",2006-01-01,82,11,0,84,0,30,-7,G#/A♭ Minor,4,5BpxofKiRYnOckOKDJZAd6,USUL10500114,no
112,"Una Vaina Loca","Fuego",117,3B,67,2026-06-23,03:08,1,"reggaetón","Una Vaina Loca",2011-11-02,80,19,0,72,0,0,-13,C♯/D♭ Major,4,3zb856RMKFjdvWre0TKcmA,QMFME1322838,no
113,"Dale Don Dale","Don Omar",95,11A,85,2026-06-23,03:34,0,"flamenco, flamenco urbano, flamenco pop","Obsesión Latina",2004-06-20,83,3,0,81,0,10,-6,F#/G♭ Minor,4,4WEJrZwPMwsAUks6GOhnsz,ES7510930802,no
114,"Dile","Don Omar",94,11B,70,2026-06-23,03:25,71,"flamenco, flamenco urbano, flamenco pop","Dile/Intocable",2005-01-01,83,19,0,74,10,0,-8,A Major,4,72YHgP5Zueyh9ilIjkaEaB,USUL10401651,no
115,"Adrenalina (feat. Jennifer Lopez & Ricky Martin)","Wisin,Jennifer Lopez,Ricky Martin",125,7B,94,2026-06-23,03:55,69,"techengue, flamenco","El Regreso del Sobreviviente (Deluxe Edition)",2014-03-18,69,9,0,76,10,0,-3,F Major,4,2eqDUxbd0JPEhNrJdPlHLs,USSD11300395,no
116,"Como Tu No Hay Dos","Buxxi",126,2B,90,2026-06-23,03:46,0,"","Como Tu No Hay Dos",2011-10-31,59,3,0,78,0,30,-5,F#/G♭ Major,4,5g2cx0mZFmCNp4GexaifFl,ES8621100601,no
117,"Te Pintaron Pajaritos","Yandar & Yostin,Andy Rivera",96,11B,77,2026-06-23,02:52,0,"reggaetón, ","Te Pintaron Pajaritos",2016-12-30,89,9,0,94,10,10,-6,A Major,4,419w8oZaqevgyZfdvFZEHa,QZ5AB1645078,no
